cell_id,x,y,velocity_x,velocity_y,velocity_magnitude,pressure,density,pressure_absolute,compressible_temperature,mach_number
257,3.64583333333333315e-01,3.43750000000000028e-02,2.54580388004406402e+01,-5.53477390595356728e-06,2.54580388004412406e+01,3.40220919962243861e+04,1.73668286871471622e+00,1.49554445239367778e+05,3.00000000000000000e+02,8.55748333634433339e-02
258,3.85416666666666630e-01,3.43750000000000028e-02,2.54511289710521815e+01,5.80427233734275313e-06,2.54511289710528423e+01,3.59657699340859181e+04,1.70819478372847855e+00,1.47101193800777924e+05,3.00000000000000000e+02,8.43928306739585576e-02
259,4.06250000000000000e-01,3.43750000000000028e-02,2.54578810510030671e+01,-6.05822781919380207e-06,2.54578810510037883e+01,3.17415791697145032e+04,1.70744380020901110e+00,1.47036522854998999e+05,3.00000000000000000e+02,8.70364203458663666e-02
260,4.27083333333333315e-01,3.43750000000000028e-02,2.54512939100429918e+01,6.30734907111611251e-06,2.54512939100437734e+01,3.36824564206521682e+04,1.67495624024072409e+00,1.44238856628329959e+05,3.00000000000000000e+02,8.60696361897580753e-02
261,4.47916666666666630e-01,3.43750000000000028e-02,2.54577091012467669e+01,-6.56105727081596374e-06,2.54577091012476124e+01,2.94609985711178160e+04,1.67744466138246118e+00,1.44453147014950635e+05,3.00000000000000000e+02,8.85916576199551054e-02
262,4.68750000000000000e-01,3.43750000000000028e-02,2.54514726698937466e+01,6.79090974342537142e-06,2.54514726698946525e+01,3.13992135787280240e+04,1.64127252970965531e+00,1.41338183895946975e+05,3.00000000000000000e+02,8.78348480731779568e-02
263,4.89583333333333315e-01,3.43750000000000028e-02,2.54575236416027337e+01,-7.04055913082382484e-06,2.54575236416037072e+01,2.71803444454740093e+04,1.64665959638072623e+00,1.41802091142326244e+05,3.00000000000000000e+02,9.02493105039638560e-02
264,5.10416666666666630e-01,3.43750000000000028e-02,2.54516646067341377e+01,7.27405466004347292e-06,2.54516646067351751e+01,2.91160470400988779e+04,1.60709734834825779e+00,1.38395188153010211e+05,3.00000000000000000e+02,8.96980576077020392e-02
265,5.31250000000000000e-01,3.43750000000000028e-02,2.54573253909589425e+01,-7.50963711159584840e-06,2.54573253909600510e+01,2.48996113406503864e+04,1.61505889032329097e+00,1.39080796340190194e+05,3.00000000000000000e+02,9.20194378304588917e-02
266,5.52083333333333259e-01,3.43750000000000028e-02,2.54518689542109975e+01,7.69696207255764564e-06,2.54518689542121628e+01,2.68329620743257656e+04,1.57238067858901354e+00,1.35405562136692897e+05,3.00000000000000000e+02,9.16702700333235643e-02
267,5.72916666666666630e-01,3.43750000000000028e-02,2.54571151634251400e+01,-7.85969507369041457e-06,2.54571151634263551e+01,2.26187940990694951e+04,1.58260841446525058e+00,1.36286323611675063e+05,3.00000000000000000e+02,9.39136464845147095e-02
268,5.93750000000000000e-01,3.43750000000000028e-02,2.54520847952995446e+01,8.09986492440281369e-06,2.54520847953008342e+01,2.45499636730697275e+04,1.53706818267828993e+00,1.32364626551340945e+05,3.00000000000000000e+02,9.37641892038520025e-02
269,6.14583333333333259e-01,3.43750000000000028e-02,2.54568939270131303e+01,-8.27394136831176130e-06,2.54568939270144767e+01,2.03378879426883395e+04,1.54926895773726048e+00,1.33415296295544191e+05,3.00000000000000000e+02,9.59454082494749783e-02
270,6.35416666666666630e-01,3.43750000000000028e-02,2.54523111878118193e+01,8.45812153629669505e-06,2.54523111878132262e+01,2.22670564289432623e+04,1.50110046896858740e+00,1.29267266885229910e+05,3.00000000000000000e+02,9.59945733335028917e-02
271,6.56250000000000000e-01,3.43750000000000028e-02,2.54566625917117548e+01,-8.65034232727903882e-06,2.54566625917132221e+01,1.80568884874625728e+04,1.51499541721052911e+00,1.30463830353084719e+05,3.00000000000000000e+02,9.81304619384641141e-02
272,6.77083333333333259e-01,3.43750000000000028e-02,2.54525471751144963e+01,8.78989663668415061e-06,2.54525471751160168e+01,1.99842445348559486e+04,1.46441219767642394e+00,1.26107856402905250e+05,3.00000000000000000e+02,9.83786882929492956e-02
273,6.97916666666666630e-01,3.43750000000000028e-02,2.54564221762167229e+01,-8.94317748527222596e-06,2.54564221762182932e+01,1.57757917244340697e+04,1.47973580594212684e+00,1.27427448928706261e+05,3.00000000000000000e+02,1.00487324324912197e-01
274,7.18750000000000000e-01,3.43750000000000028e-02,2.54527917331646130e+01,9.08627269620580507e-06,2.54527917331662330e+01,1.77015317786934866e+04,1.42693098178494182e+00,1.22880161496410263e+05,3.00000000000000000e+02,1.00936889486561501e-01
275,7.39583333333333259e-01,3.43750000000000028e-02,2.54561737004690904e+01,-9.21206190728015727e-06,2.54561737004707567e+01,1.34945940973351499e+04,1.44343002441005908e+00,1.24300976552072229e+05,3.00000000000000000e+02,1.03037952084593959e-01
276,7.60416666666666630e-01,3.43750000000000028e-02,2.54530438594614914e+01,9.34034692113355806e-06,2.54530438594632038e+01,1.54189215199841019e+04,1.38857602075509168e+00,1.19577224027324715e+05,3.00000000000000000e+02,1.03693376181746497e-01
277,7.81250000000000000e-01,3.43750000000000028e-02,2.54559182005112241e+01,-9.43681136644601362e-06,2.54559182005129720e+01,1.12132924334875370e+04,1.40600832916428042e+00,1.21078407265982009e+05,3.00000000000000000e+02,1.05808606172170999e-01
278,8.02083333333333259e-01,3.43750000000000028e-02,2.54533024452780765e+01,9.55051862880361118e-06,2.54533024452798671e+01,1.31364166881890160e+04,1.34925638404553672e+00,1.16191213512081391e+05,3.00000000000000000e+02,1.06677186768521878e-01
279,8.22916666666666630e-01,3.43750000000000028e-02,2.54556567806519070e+01,-9.62411530710817081e-06,2.54556567806537259e+01,8.93188404105427071e+03,1.36738939623886280e+00,1.17752737857109663e+05,3.00000000000000000e+02,1.08830998491824094e-01
280,8.43750000000000000e-01,3.43750000000000028e-02,2.54535664078738399e+01,9.72474553515748115e-06,2.54535664078756980e+01,1.08540197773885811e+04,1.30886883012434874e+00,1.12713239306158299e+05,3.00000000000000000e+02,1.09923527129412529e-01
281,8.64583333333333259e-01,3.43750000000000028e-02,2.54553905402963139e+01,-9.78342325767205223e-06,2.54553905402981933e+01,6.65036666198798775e+03,1.32747784327880480e+00,1.14315754473954279e+05,3.00000000000000000e+02,1.12143835416916679e-01
282,8.85416666666666630e-01,3.43750000000000028e-02,2.54538346285390098e+01,9.86509330725429218e-06,2.54538346285409212e+01,8.57173280147624246e+03,1.26729499456627059e+00,1.09133108457074384e+05,3.00000000000000000e+02,1.13475564273035456e-01
283,9.06250000000000000e-01,3.43750000000000028e-02,2.54551206127819327e+01,-9.88554026908653788e-06,2.54551206127838547e+01,4.36873850811939519e+03,1.28616099304462184e+00,1.10757753916037618e+05,3.00000000000000000e+02,1.15794925589009168e-01
284,9.27083333333333259e-01,3.43750000000000028e-02,2.54541059541872308e+01,9.95642953818512189e-06,2.54541059541891777e+01,6.28955732377557797e+03,1.22439774437756621e+00,1.05439011757074113e+05,3.00000000000000000e+02,1.17386913381479011e-01
285,9.47916666666666630e-01,3.43750000000000028e-02,2.54548481551959114e+01,-9.75806515339638254e-06,2.54548481551977837e+01,2.08699826336344358e+03,1.24330473224868809e+00,1.07067187017595774e+05,3.00000000000000000e+02,1.19843731396626504e-01
286,9.68750000000000000e-01,3.43750000000000028e-02,2.54543788955387562e+01,1.04423698600392131e-05,2.54543788955408985e+01,4.00749440776069696e+03,1.18001712462779995e+00,1.01617174687322986e+05,3.00000000000000000e+02,1.21723485848807336e-01
287,9.89583333333333259e-01,3.43750000000000028e-02,2.54545758778368416e+01,-5.43359532486296006e-06,2.54545758778374207e+01,-1.94854550551142296e+02,1.19874887902755778e+00,1.03230259717458146e+05,3.00000000000000000e+02,1.24347650717185690e-01
288,1.04166666666666661e-02,4.06250000000000014e-02,1.90528476104583007e+01,-4.46787283095960319e+00,1.95696931427391974e+01,5.65504822475461042e+04,1.99459945820015427e+00,1.71764932342906279e+05,3.00000000000000000e+02,5.55490558758050743e-02
289,3.12500000000000000e-02,4.06250000000000014e-02,1.84604117236241869e+01,-3.98234112495349235e-01,1.84647066430549138e+01,5.22830601584147880e+04,1.94570556785938842e+00,1.67554434976211225e+05,3.00000000000000000e+02,5.59337191791773602e-02
290,5.20833333333333287e-02,4.06250000000000014e-02,1.82111457765549787e+01,-1.35902567759645682e-01,1.82116528630121870e+01,5.42347191353710732e+04,1.96277220703332556e+00,1.69024128608674830e+05,3.00000000000000000e+02,5.22746407306148783e-02
291,7.29166666666666574e-02,4.06250000000000014e-02,1.81918793721570928e+01,-5.43814428177887520e-03,1.81918801849761529e+01,4.99842910572627152e+04,1.92161582629394667e+00,1.65479946881303214e+05,3.00000000000000000e+02,5.56446196641798910e-02
