cell_id,x,y,z,velocity_x,velocity_y,velocity_z,velocity_magnitude,pressure
27042,7.81250000000000000e-02,4.21875000000000000e-01,8.28125000000000000e-01,-1.73872357994986834e-02,1.82121574408661224e-01,4.66462123942876922e-02,1.88802682620162726e-01,-1.28845121838778477e-02
27043,1.09375000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-2.93343420945371136e-02,1.89576080661138985e-01,3.73623773832445841e-02,1.95436795994730711e-01,-1.51578453410136042e-02
27044,1.40625000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-3.96793466520960203e-02,1.86063168610396623e-01,2.31232315442284724e-02,1.91647168257519762e-01,-1.76808815204568329e-02
27045,1.71875000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-4.85067074813694196e-02,1.77072443318112421e-01,6.84794186198589300e-03,1.83723828506468956e-01,-2.02539238584972317e-02
27046,2.03125000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-5.67742467846518439e-02,1.66657859764674843e-01,-9.93366041284286447e-03,1.76342946920210714e-01,-2.26416172828573202e-02
27047,2.34375000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-6.46542263868902511e-02,1.55112566288587245e-01,-2.60623881512428261e-02,1.70056829579010638e-01,-2.47491315913265821e-02
27048,2.65625000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-7.21937173660347348e-02,1.41718754085399801e-01,-3.99344649485349548e-02,1.63984449193729009e-01,-2.65549581881780669e-02
27049,2.96875000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-7.90993252578249956e-02,1.26047926133727867e-01,-5.02246265807121117e-02,1.57058256879505947e-01,-2.81113511706320776e-02
27050,3.28125000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-8.47948836801065697e-02,1.08080717730727166e-01,-5.64145325808862660e-02,1.48506610391025362e-01,-2.95142262876254835e-02
27051,3.59375000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-8.86660152790884337e-02,8.80626282092840662e-02,-5.86631040048510577e-02,1.38050891065875092e-01,-3.07988350141020321e-02
27052,3.90625000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-9.07684884617615956e-02,6.65574741532427294e-02,-5.87725630709946684e-02,1.26976494018485819e-01,-3.18694994728152478e-02
27053,4.21875000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-9.16494766704276792e-02,4.45166315688634087e-02,-5.60163103270832907e-02,1.16272026226695177e-01,-3.27142854668562091e-02
27054,4.53125000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-9.22804062575141720e-02,2.28086448379244515e-02,-5.21812107735219674e-02,1.08437938085271440e-01,-3.33975448210886774e-02
27055,4.84375000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-9.25193646646137458e-02,2.12107671268879118e-03,-4.79772577806598377e-02,1.04240822466617047e-01,-3.39159134886366509e-02
27056,5.15625000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-9.31342223639964883e-02,-1.72148993661321546e-02,-4.38701180499361243e-02,1.04378749720657860e-01,-3.42071004640760248e-02
27057,5.46875000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-9.45129435973595666e-02,-3.50080230491610495e-02,-3.99486008826798675e-02,1.08416552692528978e-01,-3.42739365039562843e-02
27058,5.78125000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-9.71230693468660977e-02,-5.22354042844708141e-02,-3.63691634264475261e-02,1.16121247446184114e-01,-3.41643749799754662e-02
27059,6.09375000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-1.01317732037503952e-01,-7.07390441831237532e-02,-3.30880303274277004e-02,1.27922292615924305e-01,-3.38846010685464605e-02
27060,6.40625000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-1.07500451279980466e-01,-9.17772313287056191e-02,-2.98306420479568027e-02,1.44462017225136130e-01,-3.33826731724397724e-02
27061,6.71875000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-1.16105346959862590e-01,-1.16697182038476496e-01,-2.63736537528070289e-02,1.66716086508364114e-01,-3.25806971416281871e-02
27062,7.03125000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-1.27421518919565574e-01,-1.47305626983067123e-01,-2.25973065493100464e-02,1.96076080866400465e-01,-3.13967803130017140e-02
27063,7.34375000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-1.40658789556825231e-01,-1.84319523110101552e-01,-1.85196851514054898e-02,2.32597421346913663e-01,-2.97024642774580162e-02
27064,7.65625000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-1.52348874148263036e-01,-2.25838919081925577e-01,-1.41104995732642957e-02,2.72786552132877169e-01,-2.71108685345439228e-02
27065,7.96875000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-1.57683938536893803e-01,-2.65326861858428187e-01,-9.27906910826429773e-03,3.08785798280400647e-01,-2.33526728870583275e-02
27066,8.28125000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-1.56935295212646653e-01,-2.89263348400710774e-01,-5.29384814336822385e-03,3.29135225157740574e-01,-2.00217731553551173e-02
27067,8.59375000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-1.37881672191681237e-01,-2.95904637186214015e-01,-4.04489542544282567e-03,3.26477060470842184e-01,-1.72068697603545498e-02
27068,8.90625000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-1.02788601728948742e-01,-2.57208112420581225e-01,-3.89390277714153415e-03,2.77013848424927323e-01,-1.33116403341362582e-02
27069,9.21875000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-5.58071573583441560e-02,-1.71962820253425797e-01,-3.67982913015009461e-03,1.80829177690875198e-01,-1.22988256477105443e-02
27070,9.53125000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-1.81230708049916547e-02,-7.97631840228927025e-02,-3.48855538149151021e-03,8.18705150803530762e-02,-1.28171984181042076e-02
27071,9.84375000000000000e-01,4.21875000000000000e-01,8.28125000000000000e-01,-3.73446136009089862e-03,-1.67204946233915422e-02,-2.14192326207798562e-03,1.72658326576365338e-02,-1.38002069057286264e-02
27072,1.56250000000000000e-02,4.53125000000000000e-01,8.28125000000000000e-01,6.74726617344582088e-04,6.95689987432449308e-02,1.82353661628620253e-02,7.19223847021177448e-02,-1.30507885052358955e-02
27073,4.68750000000000000e-02,4.53125000000000000e-01,8.28125000000000000e-01,-6.33352372537203888e-04,1.55758014313119725e-01,4.05160246923635739e-02,1.60942562471417167e-01,-1.35718263597685365e-02
27074,7.81250000000000000e-02,4.53125000000000000e-01,8.28125000000000000e-01,-9.56358376591370969e-03,1.89573571068063412e-01,4.49197083965281116e-02,1.95057379210259202e-01,-1.49345002310159718e-02
27075,1.09375000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-1.91502393418104995e-02,1.97081517756072078e-01,3.61164892186123451e-02,2.01276568684394364e-01,-1.70782507414963224e-02
27076,1.40625000000000000e-01,4.53125000000000000e-01,8.28125000000000000e-01,-2.79494294260284291e-02,1.92543737183619473e-01,2.17060410252480802e-02,1.95768775730107231e-01,-1.94782882873942298e-02
