iteration,u_residual,v_residual,p_residual,continuity_residual,global_mass_imbalance
1833,4.14094352243456945e-07,2.45249276321567876e-07,1.46435681735317863e-05,7.10070422855257839e-09,0.00000000000000000e+00
1834,4.13763039459690531e-07,2.44970690943485718e-07,1.46326302827886680e-05,7.13196406155705226e-09,0.00000000000000000e+00
1835,4.13413199803789591e-07,2.44684352038317232e-07,1.46217037721968215e-05,7.16423629210872066e-09,0.00000000000000000e+00
1836,4.13112174538733677e-07,2.44406602152331687e-07,1.46107853968354556e-05,7.19549769133837251e-09,0.00000000000000000e+00
1837,4.12760673009099997e-07,2.44128244594130706e-07,1.45998793330954878e-05,7.22712884548367542e-09,0.00000000000000000e+00
1838,4.12436156713070754e-07,2.43844446223824882e-07,1.45889826831126270e-05,7.25875189321957919e-09,0.00000000000000000e+00
1839,4.12111613248857569e-07,2.43567040561620814e-07,1.45780961615968958e-05,7.29036575874454586e-09,0.00000000000000000e+00
1840,4.11784145230731616e-07,2.43290876249523311e-07,1.45672199457889492e-05,7.32196375979025348e-09,0.00000000000000000e+00
1841,4.11454876488839550e-07,2.43015136311613151e-07,1.45563540277411922e-05,7.35353873941615482e-09,0.00000000000000000e+00
1842,4.11125148212977254e-07,2.42739727507325491e-07,1.45454983634962063e-05,7.38508473869536859e-09,0.00000000000000000e+00
1843,4.10795658493770787e-07,2.42464663368098909e-07,1.45346529180579883e-05,7.41278613385025188e-09,0.00000000000000000e+00
1844,4.10306072525733092e-07,2.42190931833719934e-07,1.45238247798251456e-05,7.44649157946242277e-09,0.00000000000000000e+00
1845,4.10232892040402727e-07,2.41920305825539731e-07,1.45129899538858144e-05,7.47773463873417210e-09,0.00000000000000000e+00
1846,4.09872432859223377e-07,2.41649282809438117e-07,1.45021751946532075e-05,7.50927718740280719e-09,0.00000000000000000e+00
1847,4.09503673207781196e-07,2.41369840606095748e-07,1.44913715887793852e-05,7.53671466241875614e-09,0.00000000000000000e+00
1848,4.08990279283694380e-07,2.41096184871197086e-07,1.44805849924294437e-05,7.57040252741079868e-09,0.00000000000000000e+00
1849,4.08918704009424455e-07,2.40826955813057647e-07,1.44697909401910005e-05,7.60148239308471676e-09,0.00000000000000000e+00
1850,4.08560354632769254e-07,2.40557757016457156e-07,1.44590168226833745e-05,7.62870583069491945e-09,0.00000000000000000e+00
1851,4.08029593159863322e-07,2.40280670942387708e-07,1.44482609258818357e-05,7.66237299226727824e-09,0.00000000000000000e+00
1852,4.07944608668626870e-07,2.40012195674423790e-07,1.44374976996685458e-05,7.69332571892625577e-09,0.00000000000000000e+00
1853,4.07581256870275165e-07,2.39744032152318086e-07,1.44267541384267335e-05,7.72024221904690241e-09,0.00000000000000000e+00
1854,4.07050598240657923e-07,2.39468100566265827e-07,1.44160285937345702e-05,7.75383459196504020e-09,0.00000000000000000e+00
1855,4.06968245079644904e-07,2.39200963193629691e-07,1.44052955664914868e-05,7.78461896199911508e-09,0.00000000000000000e+00
1856,4.06607123979557345e-07,2.38934115795425593e-07,1.43945821544371186e-05,7.81120374795280494e-09,0.00000000000000000e+00
1857,4.06078752170956256e-07,2.38659270445833667e-07,1.43838867059784696e-05,7.84471511720595259e-09,0.00000000000000000e+00
1858,4.05996803657421769e-07,2.38393378545097655e-07,1.43731837953057311e-05,7.87534382899687902e-09,0.00000000000000000e+00
1859,4.05636921493483327e-07,2.38127595963861409e-07,1.43625004303892737e-05,7.90624925735366278e-09,0.00000000000000000e+00
1860,4.05273954725167377e-07,2.37853561968877925e-07,1.43518278275551630e-05,7.93235811292287015e-09,0.00000000000000000e+00
1861,4.04768161204786458e-07,2.37584493252340598e-07,1.43411719775216049e-05,7.96579816639430549e-09,0.00000000000000000e+00
1862,4.04702896106331263e-07,2.37320660293598397e-07,1.43305084735096318e-05,7.99630946530152063e-09,0.00000000000000000e+00
1863,4.04350984071156499e-07,2.37056393340558647e-07,1.43198647084647079e-05,8.02715522098544097e-09,0.00000000000000000e+00
1864,4.03990191979907440e-07,2.36783662191828587e-07,1.43092318495649896e-05,8.05311907019143916e-09,0.00000000000000000e+00
1865,4.03484539365247447e-07,2.36515395873577267e-07,1.42986157858890337e-05,8.08667338394885965e-09,0.00000000000000000e+00
1866,4.03419981890803672e-07,2.36252765031748898e-07,1.42879920208708300e-05,8.11726060940421094e-09,0.00000000000000000e+00
1867,4.03068934647765925e-07,2.35989588695613842e-07,1.42773879500833307e-05,8.14337538023830882e-09,0.00000000000000000e+00
1868,4.02544762366134140e-07,2.35717520806576218e-07,1.42668019044174624e-05,8.17713454541045958e-09,0.00000000000000000e+00
1869,4.02466087557405301e-07,2.35455224312851783e-07,1.42562083070433797e-05,8.20790029183727692e-09,0.00000000000000000e+00
1870,4.02109387594289266e-07,2.35192676323243677e-07,1.42456341418427001e-05,8.23418244583779978e-09,0.00000000000000000e+00
1871,4.01583192790921791e-07,2.34921529542480004e-07,1.42350778537925606e-05,8.26747836273266375e-09,0.00000000000000000e+00
1872,4.01491944166548159e-07,2.34653966827562347e-07,1.42245146694266493e-05,8.29408491758035770e-09,0.00000000000000000e+00
1873,4.01004306798847367e-07,2.34391434801659176e-07,1.42139759605083331e-05,8.32757850500777773e-09,0.00000000000000000e+00
1874,4.00879929629663733e-07,2.34126857931071586e-07,1.42034331911034423e-05,8.35440409056213523e-09,0.00000000000000000e+00
1875,4.00370124008637358e-07,2.33864681268191030e-07,1.41929148066813811e-05,8.38805126703713735e-09,0.00000000000000000e+00
1876,4.00243425528030412e-07,2.33600567506223119e-07,1.41823918265429140e-05,8.41500194272330807e-09,0.00000000000000000e+00
1877,3.99732066494092023e-07,2.33339285717585108e-07,1.41718931522782397e-05,8.44872844193032576e-09,0.00000000000000000e+00
1878,3.99608873493151057e-07,2.33075944125352536e-07,1.41613896634965264e-05,8.47572882163911315e-09,0.00000000000000000e+00
1879,3.99097729413790670e-07,2.32815590046039953e-07,1.41509105553147504e-05,8.50496407386291826e-09,0.00000000000000000e+00
1880,3.98829470745663182e-07,2.32551300058591312e-07,1.41404329823733609e-05,8.53869724031290588e-09,0.00000000000000000e+00
1881,3.98701103585137157e-07,2.32293389043901965e-07,1.41299583259385410e-05,8.56564577412016064e-09,0.00000000000000000e+00
1882,3.98165298736463398e-07,2.32035103604778668e-07,1.41195089899225717e-05,8.59484830472317299e-09,0.00000000000000000e+00
1883,3.97883840212766014e-07,2.31770397520246446e-07,1.41090610549835667e-05,8.62398799442160096e-09,0.00000000000000000e+00
1884,3.97607840741837568e-07,2.31511157841765118e-07,1.40986220017193424e-05,8.65309958098460014e-09,0.00000000000000000e+00
1885,3.97307079235251325e-07,2.31252396617258709e-07,1.40881932487740858e-05,8.68215548342611908e-09,0.00000000000000000e+00
1886,3.96993623986352844e-07,2.30993541617953985e-07,1.40777746131088169e-05,8.71113213549406214e-09,0.00000000000000000e+00
1887,3.96677390771896715e-07,2.30734815068836619e-07,1.40673658376568730e-05,8.73994038572342846e-09,0.00000000000000000e+00
1888,3.96362029938071346e-07,2.30477919646447556e-07,1.40569666968066275e-05,8.76875525861225170e-09,0.00000000000000000e+00
1889,3.96047483049036039e-07,2.30218688204077698e-07,1.40465772063762309e-05,8.79747118650512132e-09,0.00000000000000000e+00
